PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
68,64,17,4,28,31,40
67,70,23,2,13,49,77
32,NA,26,5,6,19,16
93,93,31,3,9,57,61
60,55,20,5,18,29,53
48,52,25,3,12,43,67
36,41,31,5,5,33,14
27,43,23,3,11,44,61
54,54,15,5,21,30,51
48,53,24,3,13,39,69
24,35,29,5,6,16,16
53,63,24,3,12,48,59
59,57,15,5,20,30,63
55,58,24,3,14,43,82
22,34,26,4,6,17,15
65,72,25,3,12,50,70
66,61,15,5,23,36,57
74,70,22,3,13,48,82
20,30,23,4,5,16,14
83,86,27,3,12,55,77
69,63,15,5,24,37,54
78,72,22,3,14,48,80
19,30,22,4,5,16,14
85,88,28,3,12,55,76
131,94,15,5,26,34,60
109,90,21,3,17,42,86
23,33,25,4,5,25,19
99,102,32,3,13,50,68
132,95,15,5,26,33,63
110,90,21,3,17,44,89
23,34,25,4,6,27,20
99,102,32,3,13,50,70
142,98,13,3,15,33,18
225,157,11,4,16,36,18
141,104,11,4,15,27,19
144,106,12,4,15,26,20
168,132,13,4,15,50,20
177,147,13,4,15,60,19
224,207,16,4,16,46,19
224,206,16,4,16,39,21
98,NA,6,NA,18,65,24
366,NA,30,NA,15,33,25
368,NA,5,NA,13,87,36
276,171,51,11,8,90,9
245,170,79,10,10,57,5
311,181,24,4,NA,48,43
98,NA,6,NA,18,42,34
271,NA,30,NA,20,42,50
NA,NA,NA,NA,NA,NA,NA
110,115,36,9,7,119,11
114,107,62,7,10,42,4
182,105,19,4,NA,47,32
121,NA,9,NA,18,44,29
310,NA,30,NA,21,79,38
NA,NA,NA,NA,NA,56,40
107,112,33,13,7,109,17
110,115,76,7,9,50,3
NA,NA,NA,NA,NA,48,50
122,NA,9,NA,18,54,29
327,NA,30,NA,23,68,40
NA,NA,NA,NA,NA,74,31
121,116,35,13,7,105,21
125,123,82,7,9,65,3
NA,NA,NA,NA,NA,63,34
149,NA,12,NA,18,51,57
359,NA,30,NA,24,71,22
NA,NA,NA,NA,NA,106,150
156,129,38,13,7,115,15
172,150,89,7,10,97,4
NA,NA,NA,NA,NA,90,14
151,NA,12,NA,18,53,61
365,NA,30,NA,23,80,17
381,NA,5,NA,10,106,57
164,132,39,14,7,118,12
181,156,89,7,10,99,4
NA,NA,NA,NA,NA,95,10
170,NA,12,NA,18,43,47
396,NA,30,NA,22,44,35
395,NA,5,NA,9,68,39
246,164,44,14,7,122,8
284,195,96,8,10,79,3
337,195,26,4,NA,95,16
174,NA,12,NA,18,41,49
395,NA,30,NA,24,45,41
398,NA,5,NA,9,71,41
253,167,45,14,7,115,10
290,198,97,8,10,81,4
339,198,27,4,NA,93,22
85,91,14,11,14,37,10
103,105,17,9,11,25,14
68,82,17,9,11,25,7
68,78,17,9,12,26,8
63,65,15,10,12,33,8
62,64,15,10,12,36,8
55,52,13,10,12,40,8
54,51,13,10,12,40,8
355,288,61,4,15,74,47
375,NA,64,14,24,39,63
335,286,52,12,21,160,20
300,246,12,NA,NA,82,38
NA,NA,NA,NA,NA,71,45
317,303,79,NA,NA,64,15
324,286,112,6,12,65,26
319,281,64,8,21,40,1
364,363,73,7,31,151,25
323,316,124,NA,NA,64,15
225,NA,69,17,NA,56,NA
310,212,81,5,10,91,15
400,375,202,25,11,105,4
340,308,104,13,20,150,20
271,223,51,NA,NA,161,23
315,283,90,13,21,56,16
278,236,77,11,7,56,8
334,271,52,20,16,87,NA
329,NA,43,NA,43,55,22
327,177,51,12,8,48,51
308,297,74,13,NA,51,37
392,358,NA,20,18,151,22
278,236,72,NA,NA,105,9
335,312,63,14,25,74,28
303,276,26,27,5,55,14
320,279,72,11,14,96,9
314,290,55,14,20,59,28
241,220,111,NA,NA,33,28
301,312,11,3,16,151,27
364,337,38,20,7,86,10
350,NA,57,NA,34,156,20
441,394,130,19,22,70,23
265,223,53,14,13,52,47
275,170,40,10,8,51,46
335,305,17,11,20,171,20
418,NA,34,18,22,84,7
345,230,62,7,15,42,69
343,281,90,12,11,80,63
355,263,63,11,13,25,32
295,194,7,NA,NA,66,53
363,249,52,21,14,33,66
318,267,67,NA,NA,8,11
345,NA,34,5,5,48,77
NA,NA,NA,NA,NA,26,4
336,314,67,6,13,36,NA
